$100-a-plate dinner	tuluõhtu, heategevuslik bankett
widespreadedly	laialdaselt
widest	kõige laiem
wide variety	laialdane valik
widget	vidin, tööriist
widgets	vidinad
widow	lesk (naine), ülaorb
widowed	lesestunud
widower	leskmees
widowman	leskmees
widow's cruse	ammendumatu allikas
widow's mite	viimane veering (helde annetusena)
widow's peak	kiilukujuline juuksekahl otsmikul
widow's walk	(er rannamaja) katuseplatvorm
widow's weeds	leinarõivad
width	laius
wield	kasutama (võimu, tööriista), omama, kandma
wieldy	käepärane, kasutusvalmis
wiener	viiner
wife	naine (abikaasa)
wife-beater	naisepeksja
wifely	abielunaisele sobilik, naiselik
wifty	pentsik, totakas
wig	parukas
Wig	viig
wigeon	viupart (Anas penelope)
wigging	(Br) peapesu, noomimine
wiggle	vonklema, väänlema, väntsutama
wiggle out of	välja keerutama
wigwam	vigvam
wiki	viki (täiendamiseks avatud veebikeskkond), wiki
wilco	sain aru ja täidan
wild	metsik, (loom vm) mets- ; metsik loodus ; metsikult
wild-and-woolly	põnevalt ohtlik, metsik ja jõhker, sagrine ja räämas
wild and woolly	põnevalt ohtlik, metsik ja jõhker, sagrine ja räämas
wild animal	metsloom, looduses elav loom
wild beast	metsloom, metselukas
wild beasts	metsloomad, metselukad
wild boar	metssiga
wild card	jokker, tundmatu suurus, metamärk
wildcard	metamärk, jokker
wild carrot	metsporgand (Daucus carota)
wild cat	metskass
wildcat	metskass, ketitrumm ; spekulatiivne, ettearvamatu
wildcat bank	(Am, aj) (omakapitalita raha emiteeriv) riskipank
wildcats	metskassid
wildcat's	metskassi
wildcat strike	sanktsioneerimata streik
wildcatter	börsispekulant, naftaotsija, äkkstreikija
wildcat well	ettearvamatu naftaleiukoht
wild date	metsdattel (Phoenix sylvestris)
wild drake	< mallard
wild duck	metspart
wildebeest	gnuu
wilderness	metsik loodus, kõnnumaa
wilderness area	kõnnumaa
wilderness preserve	looduskaitseala
wildest dream	lennukaim unistus
wildfire	kulutuli
wild fowl	metslind, lind (ulukina)
wildfowling	linnujaht
wild goose	metshani
wild goose chase	tuule tagaajamine
wild guess	umbropsu pakkumine
Wild Hunt	viirastuslik jahisalk (Lendava Hollandlase analoog)
wild justice	omakohus
wildlife	ürgne loodus
wildlife corridor	looduskoridor (liikide asualade vahel)
wildlife preserve	looduskaitseala
wildly	metsikult, meeletult
wild mustard	metskapsas
wild pansy	aaskannike (Viola tricolor)
wild radish	põldrõigas (Raphanus raphanistrum)
wild type	looduslik organism (aretamata, muteerumata kujul)
Wild West	Metsik Lääs
wile	ahvatlus, knihv ; ahvatlema
wile away	meeldivalt aega veetma
wilful	tahtlik
wilfully	tahtlikult
Wilkes Land	Wilkesi maa
will	-, saama ; tahe, testament
Will	Will (= William, Wilfred, Wilbur)
willful	tahtlik, kangekaelne
William	William
William Tell	Wilhelm Tell
William the Conqueror	William Vallutaja
willies	judinad
willing ear	kuulata soovija
willingless	soovimatu
willingly	vabatahtlikult, omal soovil
willingness	valmidus
willing or unwilling	tahes või tahtmata
williwaw	(külma mägismaaõhu) puhang, iiling
will of Heaven	taeva tahe
will of iron	raudne tahe
will-o'-the-wisp	virvatuli, sootuluke
willow	paju, vitspaju, korvipaju (Salix viminalis)
willow grouse	rabapüü (Lagopus lagopus)
willow oak	pajulehine tamm (Quercus phellos)
willow tit	põhjatihane (Parus montanus)
willow warbler	salu-lehelind (Phylloscopus trochilus)
willow whistle	vilepill
willowy	sire, nõtke
willpower	tahtejõud
willy	(Br) noku
Willy	Willy
willy-nilly	tahes-tahtmata, sihitult
Wilma	Wilma (= Wilhelmina)
Wilson's petrel	lõuna-tormipääsu (Oceanites oceanicus)
wilt	närbuma, väsima, longu vajuma
wimpish	abitu, vilets
wimple	pearätik
win	võitma
win a victory	võitu saavutama
win back	tagasi võitma
wince	nägu krimpsutama, kössi tõmbuma ; grimass
winch	vints
Winchester	Winchester
wind	tuul ; mässima, kerima
windage	(tulirelva toru) lõtk
wind around your little finger	ümber väikese sõrme mässima
wind arrow	tuulelipp
windbag	jutupaunik, põis (torupilli osa)
wind-borne	tuule toodud, tuulega edasi kandunud
wind-bound	tuulevangis
windbreaker	tuulepluus
wind chimes	tuulekell
wind direction	tuule suund
wind down	maha rahunema, lõdvestuma
windfall	süllekukkunud (õnn), tuulega kukkunud (vili), juhu-
windfall profit	ettenägematu kasum, juhutulu
wind farm	tuulepark
windflower	ülane
wind harp	tuulekannel
winding	käänuline, looklev
winding staircase	keerdtrepp
wind instrument	puhkpill
windjammer	vinddžämmer
windlass	ankrupeli
windmill	tuuleveski
window	aken
window curtain	aknakardin
window decoration	aknakaunistus
window dressing	vaateakna väljapanek
window frame	aknaraam
window glass	aknaklaas
windowless	akendeta
windowpane	aknaklaas
windows	aknad
window's	akna
window seat	aknaalune koht
window sill	aknalaud, (väljas) veelaud
windowsill	aknalaud
window stop	aknasulgur
windpipe	orelivile, hingetoru
windproof	tuulekindel
wind ripple	tuulevire
wind rose	tuuleroos
windrow	loog, heinakaar
windsail	vindseil
windscreen	tuuleklaas
windscreen wiper	klaasipuhasti
windshield	tuuleklaas, esiklaas
windshield wiper	klaasipuhasti, kojamees
Windsor	Windsor
windstorm	torm, tugev tuul
windsurf	purjelauaga sõitma
windsurfer	purjelaudur
windsurfing	purjelauasõit
wind-up	üleskeeratav
wind up	üles keerama, (Br) ärritama, endast välja viima
wind vane	tuulelipp
windward	luvart, pealtuule
windward ebb	pagu
Windward Islands	Tuulepealsed saared
windy	tuuline
Windy City	Chicago
wine	vein
wine and dine	sööma-jooma, söötma-jootma
winebibber	veininina, tripsutaja
wine cellar	veinikelder
wine-glass	veiniklaas
wine-list	< winelist
winemaker	veinimeister
wine press	veinipress, viinamarjapress
winepress	veinipress, viinamarjapress
wine taster	degusteerija
winetasting	veini degusteerimine
win friends	sõpru võitma
wing	tiib
Winged Victory	tiivustav võit
wing-in-ground	laugur
wingless	tiibadeta, tiivutu
wingspan	tiibade siruulatus
win hands down	kerge vaevaga võitma, kerge vaevaga edu saavutama
wink	silma pilgutama ; silmapilgutus
wink at	silma kinni pigistama (millegi suhtes)
winker	silmaklapp
winking	pilgutamine, silmapilgutus
winkle	ranniklane (rannakarp) ; (Br) koukima
winkle out	välja urgitsema, kookima, koukima
wink out	lõpule jõudma
Winnebago	haagiselamu
winner	võitja
winner-take-all	"võitja saab kõik"
Winnie the Pooh	Winnie Puhh
winning	võidukas ; võit, võitmine
winnings	võidetud raha, võidusumma
winnow	tuulama, (aganaid) minema puhuma
winnow down	ebaolulisest puhastama
winnower	tuulamismasin, tuulaja
winnowing	tuulamine, terade sõkaldest eraldamine
winnow out	(aganaid) välja puhastama
win over	enda poole võitma, auku pähe rääkima
win, place, and show	esimeseks, teiseks ja kolmandaks tulema
win round	< win over
winsome	lustiline, lõbus, rõõmuküllane
winsomely	lustiliselt, lapseliku rõõmuga
winter	talv
winter apple	taliõun
winter barley	talioder
winterberry	iileks (jm punaste marjadega põõsad)
winter cherry	hiina latern (Physalis alkekengi)
winter day	talvepäev
winter egg	talvemuna (putukate sügisel munetud munad)
winter fever	kopsupõletik
winter garden	talveaed
winter green	laanelill (Trientalis europaea)
wintergreen	laanelill (Trientalis europaea)
winter heliotrope	lõhnav katkujuur (Petasites fragrans)
winterling	ühetalvine, aastavanune
Winter Olympic Games	taliolümpiamängud
Winter Olympics	taliolümpiamängud
winter quarters	talvekorter
winter rye	talirukis
winter sleep	talveuni
winter solstice	talvine pööripäev
winter sports	talispordialad
wintertime	talveaeg
winter vetch	põld-hiirehernes (Vicia villosa)
winter wagtail	hallvästrik
Winter War	Talvesõda
winter wren	käblik (Troglodytes troglodytes)
win the battle	lahingut võitma
win the love of	(kellegi) armastust võitma
wintry	talvine, talve-
win your heart	(kellegi) südant võitma, (kedagi) enda poole võitma
winze	pimešaht
wipe	pühkima, kuivatama, püsivalt kustutama
wipe away	ära pühkima, minema pühkima
wipe away the tears	pisaraid pühkima
wiped out	rahast lage, võhmal
wipe off	kustutama, ära pühkima
wipe out	minema pühkima, hävitama
wipe the floor with	põrandat pühkima, pihuks ja põrmuks tegema
wipe the smile off your face	naeratust näolt pühkima
wipe up the floor with	põrandat pühkima, pihuks ja põrmuks tegema
WIPO	WIPO (Ülemaailmne Intellektuaalse Omandi Organisats)
wire	juhe, traat, vaier ; kaabeldama
wire basket	traatkorv
wire cloth	traadikate, traatkudum
wired	juhtmega ühendatud, üles köetud, traadiga seotud
wiredancer	köietantsija
wired radio	krapp
wire gauze	traatvõrk
wirehair	traatkarvaline
wireless	raadio-, traadita
wireless circuit	raadioühendus, traadita ühendus
wireless communication	raadiokommunikatsioon
wire mesh	traatvõrk
wire rod	traat, armatuurivarras
wire rope	tross
wire service	telegraafiteenus
wire-tapping	telefoniliini pealtkuulamisseadis, pealtkuulamine
wire tapping	telefoniliini pealtkuulamisseadis, liiniluure
wiretapping	telefoniliini pealtkuulamine, liiniluure
wirewalker	köielkõndija, ekvilibrist
wiring	kaabeldus
wiring harness	juhtmekimp
wiry	traatjas, kiitsakas, sooniline, sitke, pinisev
wiry-coated	traatkarvaline
wiry-haired	traatjuukseline, traatkarvaline
Wisc	Wisc (= Wisconsin)
Wisconsinite	wisconsinlane
wisdom	tarkus, elutarkus
Wisdom of Solomon	Saalomoni tarkuseraamat
wise	tark, elukogenud
wiseacre	"tarkpea" (irooniline), ninatark
wisecrack	naljatlus, (irooniline) märkus
wisecracker	naljahammas, irvhammas
wisely	targalt
wise man	tark (nimis)
Wise Men of the East	Hommikumaa targad (Mt 2)
wiseness	tarkus
wisenheimer	irvhammas, lõuapoolik
wiser	targem
wisest	kõige targem
wise up	nõu andma, teada saama
wise up to	taipama hakkama, selgeks saama
wish	soovima ; soov
wishbone	harkpoom
wish child	soovilaps (adopteerimiseks soovitud laps)
wished-for	soovitud, loodetud
wishful	soov-
wishful belief	soovunelm, soovuskumus
wishful thinking	soovunelm
wish you evil	halba soovima
wish you luck	õnne soovima
wishy-washy	pelglik, argpükslik, oma arvamuseta
wisp	tuust, tutt, hari, (peenike) juga, vine, (nepi)parv
wisp of a smile	naeruvine
wisp of smoke	suitsujuga
Wisteria	rippuba
wistful	igatsev, mõtlikult nukker
wit	aru, nutikus
witch	nõid
witchcraft	nõidus
witch doctor	nõiatohter
witches' sabbath	nõiasabat
witch hobble	lepalehine lodjapuu (Viburnum alnifolium)
witch-hunt	nõiajaht
witching hour	kesköötund
with	koos
with a fine toothcomb	üksipulgi
with a grain of salt	teatud mööndustega, skeptiliselt
with a guilty conscience	musta südametunnistusega
with a heavy heart	raske südamega
withal	siiski, lisaks, koos (< with+all)
with all due respect	kogu lugupidamise juures
with all respect	kogu lugupidamisega, kogu lugupidamise juures
with all your heart	kogu südamest
with an exception	erandiga
with an eye to	silmas pidades
with a pinch of salt	mööndustega
with a poker face	pokkerinäoga, kelmi ilmega
with arms akimbo	käed puusas
with a vengeance	kõigest jõust, ägedalt, raevukalt, kuhjaga, tublisti
with a view to	silmas pidades, otstarbel, eesmärgil
with a will	hoogsasti, südikalt, innukalt, agaralt
with bated breath	hinge kinni pidades
with beating heart	põksuva südamega
with bells on	kisa ja käraga, tähelepanu tõmmates
with both eyes closed	kinnisilmi
with breathless expectation	hinge kinni pidades ootama
with brimming eyes	veekalkvel silmadega, pisarsilmil
with brio	tarmukalt
with care	ettevaatlikult, hoolikalt
with caution	ettevaatlikult
with child	lastootav, rase
with confidence	enesekindlalt
with difficulty	raskustega
with dignity	väärikalt, auga
with dispatch	kiirkorras, kiirkulleriga
with distinction	kiitusega, kiituskirjaga ; eriline
with downcast eyes	mahalöödud silmadega
withdraw	tagasi võtma, tagasi tõmbuma, arvelt võtma
withdrawal	tagasivõtmine, tühistamine, keeld, võõrutus
withdrawal symptom	võõrutussümptom
withdraw from the field	tegevtööst tagasi tõmbuma
with dry eyes	pisarat poetamata
with due respect	väärilise austusega
with ease	kergelt, hõlpsalt, sundimatult
with emphasis	rõhuga, rõhutatult
with enthusiasm	innukalt, tormakalt
wither	närbuma, vaigistama ; (hobuse) turi
withered	kuivetunud, närbunud, krimpsus
withering	laastav ; kuhtumine, närbumine
witherite	viteriit, baariumkarbonaat
withe rod	pirnilehine lodjapuu (Viburnum cassinoides)
withers	(er veohobuse) turi
withershins	< widdershins
with flying colors	püstipäi, lippude lehvides
with good faith	heas usus
with great care	ülihoolikalt, erilise ettevaatusega
with great haste	suurel kiirusel, tormakalt
with gusto	naudinguga, isukalt
withheld	< withhold
withhold	tagasi hoidma, andmata jätma, varjama
with honor	auga
within	jooksul, piires, sees, ulatuses, kaugusel
within an ace of	juuksekarva kaugusel, poole punkti kaugusel
within an inch of	juuksekarva kaugusel, väga lähedal
within bounds	piirides, reeglite järgi
within call	hüüdeulatuses, läheduses
within earshot	kuuldekaugusel
within hearing	kuuldekauguses
within reason	taibatav, mõistuse piires
within reasonable limitations	mõistlikes piires
with interest	huviga
within the bounds of reason	mõistlikkuse piires
within the ken	nägemisulatuses
within the law	seaduse piires
within the pale	omas kodus, turvalises kohas, piirides
within the scope of the law	seaduse piiresse jääv
within your fathom	embuses
with one accord	üksmeelselt
with one foot in the grave	ühe jalaga hauas
with one voice	ühel häälel, ühehäälselt, üksmeelselt
with open arms	avasüli
with open eyes	lahtiste silmadega
with open hands	lahkelt, heldelt
without	ilma
without a break	peatumata, puhkepausideta
without a glitch	tõrgeteta, viperusteta
without a hitch	kordagi seiskumata, ühegi tõrketa
without any qualms	vähimagi süümepiinata, kõhkluseta
without book	mälu järgi, volitamata
without cease	lakkamatult
without ceremony	ilma pikema jututa
without date	dateerimata
without delay	viivitamata
without distinction	vahet tegemata
without doubt	kõhklematult
without end	lõputu
without equal	ainulaadne, asendamatu
without exception	eranditult
without fail	kindla peale
without fear or favor	erapooletult, emotsioonidesse laskumata
without further ado	ilma pikema kobinata
without grounds	alusetult
without hope	lootusetu
without leave	ilma loata
without reason	põhjuseta
without remorse	kahetsust tundmata
without striking a blow	ilma võitluseta
without warning	hoiatamata
without wasting words	sõnu raiskamata
with overflowing eyes	veekalkvel silmadega
with pleasure	hea meelega
with regard to	mis puutub
with respect	lugupidavalt
with scienter	teadlikult, täies teadmises
withstand	vastu pidama
with swimming eyes	pisarais silmadega
with tearful eyes	pisarsilmil
with tears in eyes	pisarsilmil
with tears in your eyes	pisarsilmil
with the agreement of	nõusolekul
with the assistance of	abiga
with the best	parimate soovidega
with the exception of	peale, välja arvatud
with the exception that	välja arvatud, selle erandiga et
with the help of	abiga
with the intention to	kavatsusega, eesmärgiga
with the intent that	kavatsusega
with the speed of light	valguse kiirusel
with watery eyes	vesiste silmadega
with young	tiine, ramb
with your eyes open	avasilmi, täie teadmisega
with your own petard	oma käe läbi, omakaevatud auku (kukkuma)
with your permission	sinu loal
with your tail between your le	saba jalge vahel
with zest	suure naudinguga, hoogsalt, innukalt
witness	tunnistaja, pealtnägija ; tunnistajaks olema
witness-box	tunnistajapink
witness box	tunnistajapink
witness stand	tunnistajapink
witter	vadistama, porisema
witticism	teravmeelne ütlus
wittily	nutikalt
wittol	sarvekandja, tobu
witty	vaimukas
wives	naised
wizard	võlur, (IT) viisard, tark
wizardry	võlujõud, üleloomulik oskus
wizened	kokkukuivanud, krimpsus
wlatsome	vastik
WMD	massihävitusrelvad
WMO	Ülemaailmne Meteoroloogiaorganisatsioon
WNW	lääneloe
wo	< would
woad	sinerõigas (Isatis tinctoria), sine
wobbegong	habehai
wobbegong shark	habehai
wobble	loperdama, vaaruma, värisema ; vabin
wobbling	loperdav
wobbly	võdisev, lotendav, loperdav
wodge	kuhi, hunnik
woe	häda
woebegone	murest murtud, hädine, põhjakäinud
woeful	hädaldav
woefully	kurblikult, murelikult
wog	(Br) kili, pilusilm
wok	vokk, wok (nõgus pann)
woke	< wake
wolf	hunt
wolf cub	hundikutsikas
wolf down	alla kugistama, süüa ahmima
Wolffia	lemlik, volfia
wolfhound	hundikoer, suur jahikoer
wolf in sheep's clothing	hunt lambanahas
wolfish	hundi-, hundilik
wolfram	< tungsten
wolframite	volframiit, volframimaak
wolfsbane	< aconite
Wolof	volofi keel
wolverine	ahm (Gulo gulo)
Wolverine State	Michigan
wolves	hundid
woman	naine
woman-fashion	naistemood
womankind	naissugu
woman of easy virtue	kergemeelsete elukommetega naisterahvas
woman of principle	põhimõtteline naine, printsipiaalne inimene
woman of the street	tänavatüdruk, lõbutüdruk
woman of the streets	tänavatüdruk, lõbutüdruk
woman of the world	suurilmadaam, ilma ja inimesi näinud naine
womb	üsk, emakas
wombat	vombat
womble	prügikratt (muinasjutu pisikaru), juhmkasutaja
women	< woman
womens' chorus	naiskoor
Women's Home Defence	Naiskodukaitse
Women's Liberation	naisõiguslus
women's liberation activist	naisõiguslane
women's magazine	naisteajakiri
won	võitis ; von (Korea rahaühik)
wonder	ime ; imestama, pead murdma
wonderful	suurepärane, imepärane
wonderfully	suurepäraselt
wonderingly	imestavalt
wonderland	imedemaa
wonders of the world	maailmaimed
wondrous	imetabane
wondrously	imetabaselt
wonk	nohik, (teema) põhjalik uurija
wonky	logisev, viltune
wont	harjumus, tava ; harjunud olema ; ei (= will not)
won't	ei (= will not)
woo	poolehoidu taotlema, meelitama, paluma, külge lööma
wood	puit, puu
wood alcohol	puupiiritus (metanool)
woodcarver	puunikerdaja
